e0_n,e0_F_d_in,e0_p,time_hours
1.0,0.0,487.44982,0.0
1.0,0.0,487.44982,0.002777777777777778
1.0,0.0,487.44982,1.3986320491344446
1.0,0.0,487.44982,2.7944863204911115
1.0,0.0,487.44982,4.190340591848056
1.0,0.0,487.44982,5.586194863204722
1.0,0.0,487.44982,6.982049134561667
1.0,0.0,487.44982,8.377903405918333
1.0,0.0,487.44982,9.773757677274999
1.0,0.0,487.44982,11.169611948631944
1.0,0.0,487.44982,12.565466219988611
1.0,0.0,487.44982,13.961320491345555
1.0,0.0,487.44982,15.357174762702222
1.0,0.0,487.44982,16.753029034059164
1.0,0.0,487.44982,18.148883305415833
1.0,0.0,487.44982,19.544737576772498
1.0,0.0,487.44982,20.940591848129444
1.0,0.0,487.44982,22.336446119486112
1.0,0.0,487.44982,23.732300390843054
1.0,0.0,487.44982,25.12815466219972
1.0,0.0,487.44982,26.52400893355667
1.0,0.0,487.44982,27.919863204913334
1.0,0.0,487.44982,29.315717476270002
1.0,0.0,487.44982,30.711571747626945
1.0,0.0,487.44982,32.10742601898361
1.0,0.0,487.44982,33.503280290340555
1.0,0.0,487.44982,34.899134561697224
1.0,0.0,487.44982,36.294988833053885
1.0,0.0,487.44982,37.69084310441083
1.0,0.0,487.44982,39.08669737576751
1.0,0.0,487.44982,40.482551647124446
1.0,0.0,487.44982,41.87840591848111
1.0,0.0,487.44982,43.27426018983805
1.0,0.0,487.44982,44.67011446119472
1.0,0.0,487.44982,46.06596873255138
1.0,0.0,487.44982,47.461823003908336
1.0,0.0,487.44982,48.857677275265
1.0,0.0,487.44982,50.25353154662194
1.0,0.0,487.44982,51.64938581797861
1.0,0.0,487.44982,53.04524008933556
1.0,0.0,487.44982,54.441094360692226
1.0,0.0,487.44982,55.83694863204889
1.0,0.0,487.44982,57.23280290340583
1.0,0.0,487.44982,58.6286571747625
1.0,0.0,487.44982,60.02451144611945
1.0,0.0,487.44982,61.42036571747611
1.0,0.0,487.44982,62.816219988833055
1.0,0.0,487.44982,64.21207426018972
1.0,0.0,487.44982,65.60792853154639
1.0,0.0,487.44982,67.00378280290333
1.0,0.0,487.44982,68.39963707426
1.0,0.0,487.44982,69.79549134561694
1.0,0.0,487.44982,71.19134561697362
1.0,0.0,487.44982,72.58719988833028
1.0,0.0,487.44982,73.98305415968723
1.0,0.0,487.44982,75.37890843104388
1.0,0.0,487.44982,76.77476270240084
1.0,0.0,487.44982,78.1706169737575
1.0,0.0,487.44982,79.56647124511446
1.0,0.0,487.44982,80.96232551647111
1.0,0.0,487.44982,82.35817978782778
1.0,0.0,487.44982,83.75403405918473
1.0,0.0,487.44982,85.14988833054139
1.0,0.0,487.44982,86.54574260189834
1.0,0.0,487.44982,87.94159687325501
1.0,0.0,487.44982,89.33745114461193
1.0,0.0,487.44982,90.73330541596862
1.0,0.0,487.44982,92.12915968732528
1.0,0.0,487.44982,93.52501395868221
1.0,0.0,487.44982,94.92086823003889
1.0,0.0,487.44982,96.31672250139583
1.0,0.0,487.44982,97.7125767727525
1.0,0.0,487.44982,99.10843104410944
1.0,0.0,487.44982,100.50428531546612
1.0,0.0,487.44982,101.90013958682277
1.0,0.0,487.44982,103.29599385817971
1.0,0.0,487.44982,104.6918481295364
1.0,0.0,487.44982,106.08770240089333
1.0,0.0,487.44982,107.48355667224999
1.0,0.0,487.44982,108.87941094360667
1.0,0.0,487.44982,110.27526521496361
1.0,0.0,487.44982,111.67111948632028
1.0,0.0,487.44982,113.06697375767722
1.0,0.0,487.44982,114.46282802903389
1.0,0.0,487.44982,115.85868230039084
1.0,0.0,487.44982,117.2545365717475
1.0,0.0,487.44982,118.65039084310418
1.0,0.0,487.44982,120.04624511446112
1.0,0.0,487.44982,121.44209938581777
1.0,0.0,487.44982,122.83795365717472
1.0,0.0,487.44982,124.23380792853139
1.0,0.0,487.44982,125.62966219988833
1.0,0.0,487.44982,127.025516471245
1.0,0.0,487.44982,128.42137074260168
1.0,0.0,487.44982,129.8172250139586
1.0,0.0,487.44982,131.21307928531527
1.0,0.0,487.44982,132.6089335566722
1.0,0.0,487.44982,134.00478782802887
1.0,0.0,487.44982,135.40064209938583
1.0,0.0,487.44982,136.7964963707425
1.0,0.0,487.44982,138.19235064209917
1.0,0.0,487.44982,139.5882049134561
1.0,0.0,487.44982,140.9840591848128
