e0_n,e0_F_d_in,e0_p,time_hours
1.0,0.11558121693359855,487.44982010582385,0.0
2.1557025642850975,0.11555950929560214,1050.7968269343091,0.002777777777777778
1065.364360717737,0.09558919047528616,519311.665866276,2.808585858585833
1944.8345229386484,0.07907004402381729,948009.2381362299,5.614393939393889
2672.3193668631975,0.06540564789732879,1302621.5943599797,8.420202020201945
3274.0895549429692,0.05410255849869067,1595954.3642208304,11.226010101009999
3771.855511425417,0.044752987487748745,1838590.290110327,14.031818181818055
4183.609038749209,0.03701899364468978,2039299.472888674,16.83762626262611
4524.200251538152,0.030621646280526715,2205320.598256227,19.64343434343417
4805.935523459316,0.025329793961560754,2342652.4058418493,22.44924242424222
5038.986160584222,0.020952388370502797,2456252.89695927,25.255050505050278
5231.764734171319,0.017331415622833152,2550222.777954157,28.06085858585833
5391.2228273630835,0.01433630367082005,2627950.5967780263,30.866666666666386
5523.124886003586,0.011858778545430552,2692246.2315199682,33.67247474747472
5632.233369184045,0.009809386661339677,2745431.142006756,36.47828282828278
5722.487402539869,0.008114139160190065,2789425.4543203264,39.284090909090835
5797.144942047203,0.006711841638562296,2825817.2585148197,42.08989898989889
5858.896441808986,0.005551959118401779,2855918.015958431,44.89570707070695
5909.976711973029,0.004592515012316873,2880817.0844554445,47.701515151515004
5952.229757056689,0.003798873261020966,2901413.323675927,50.50732323232306
5987.181094343729,0.003142379972082935,2918450.346745252,53.313131313131116
6016.091662188626,0.002599350856667568,2932542.7978373463,56.11893939393917
6040.008972503207,0.0021501104289832194,2944201.2864450724,58.92474747474723
6059.790862321735,0.001778545879057026,2953843.965076374,61.73055555555528
6076.154228187469,0.0014711916915170892,2961820.2848222204,64.53636363636362
6089.689615367031,0.0012169556154097837,2968418.1068665283,67.34217171717167
6100.886066643983,0.0010066519276602885,2973875.8150261175,70.14797979797973
6110.14780312853,0.0008326881163164352,2978390.446808397,72.95378787878778
6117.809103896562,0.0006887853953005235,2982124.946488741,75.75959595959583
6124.146515765308,0.0005697493673826393,2985214.1167634265,78.56540404040389
6129.388711861166,0.0004712848500462848,2987769.424306757,81.37121212121194
6133.724811060957,0.00038983961087118806,2989883.0550811975,84.17702020202
6137.311713862956,0.0003224665773804563,2991631.49020639,86.98282828282805
6140.278654275786,0.00026673833860936774,2993077.7247765735,89.78863636363612
6142.732794859375,0.00022064205307941462,2994273.9951622984,92.59444444444445
6144.762688858127,0.00018251441932128366,2995263.46662661,95.4002525252525
6146.442671508486,0.00015095919365324623,2996082.373867131,98.20606060606056
6147.832199126044,0.00012485960415170965,2996759.698854194,101.01186868686861
6148.981488971117,0.00010327241668194631,2997319.9199823025,103.81767676767667
6149.932076157222,8.541747444887685e-05,2997783.2835350637,106.62348484848472
6150.718314722071,7.064950328115927e-05,2998166.535381977,109.42929292929279
6151.36861917588,5.843479154679211e-05,2998483.5261709313,112.23510101010083
6151.906491396283,4.833190191768092e-05,2998745.711887949,115.0409090909089
6152.351369981671,3.99757179095849e-05,2998962.5678743185,117.84671717171695
6152.719332758385,3.306424864283648e-05,2999141.9312635944,120.65252525252501
6153.023677830263,2.7347714950033388e-05,2999290.284214099,123.45833333333306
6153.2754041695525,2.261952240521045e-05,2999412.9881728757,126.26414141414139
6153.483727982647,1.8706562391689947e-05,2999514.5355780707,129.06994949494944
6153.656013777966,1.547050685890863e-05,2999598.516257987,131.8757575757575
6153.798495786277,1.2794257836385051e-05,2999667.969087291,134.68156565656557
6153.916329776335,1.0580974177258093e-05,2999725.4072445347,137.48737373737362
6154.013779618438,8.750567322612464e-06,2999772.9091525273,140.29318181818167
6154.094371574304,7.236803264495658e-06,2999812.1936869076,143.09898989898971
6154.161021896254,5.984905841940917e-06,2999844.682374344,145.9047979797978
6154.216142352985,4.949574643298313e-06,2999871.550831056,148.7106060606058
6154.261727500382,4.093345792985871e-06,2999893.77130295,151.5164141414139
6154.299426855329,3.385236305879483e-06,2999912.147846733,154.32222222222222
6154.3306045841455,2.799622955407464e-06,2999927.345425032,157.12803030303027
6154.356388865479,2.315315087097e-06,2999939.913968328,159.93383838383832
6154.377712713915,1.9147878260807108e-06,2999950.3082744097,162.73964646464637
6154.395347741483,1.5835479323665656e-06,2999958.904465423,165.54545454545445
6154.409932078746,1.3096093572007412e-06,2999966.013597996,168.3512626262625
6154.421993465811,1.08305952310782e-06,2999971.8929189504,171.15707070707055
6154.431968348818,8.957006332652262e-07,2999976.7551738773,173.9628787878786
6154.440217672918,7.407530309593488e-07,2999980.776305425,176.76868686868667
6154.447039943221,6.126098748863235e-07,2999984.101819856,179.57449494949472
6154.452682026322,5.066342534054892e-07,2999986.852052247,182.38030303030277
6154.4573480832605,4.189913960887951e-07,2999989.126520863,185.1861111111111
6154.46120695719,3.465099108794755e-07,2999991.007528264,187.99191919191915
6154.464398283011,2.8656702606971914e-07,2999992.563139462,190.79772727272723
6154.467037540132,2.3699368432824425e-07,2999993.8496448705,193.60353535353525
6154.4692202311335,1.959960542931665e-07,2999994.9135972066,196.40934343434333
6154.471025337565,1.6209062035716385e-07,2999995.7934960118,199.21515151515138
6154.472518177932,1.3405050063192512e-07,2999996.5211807797,202.02095959595945
6154.473752771259,1.1086105220848068e-07,2999997.1229830743,204.82676767676747
6154.474773791804,9.168315549504446e-08,2999997.6206793557,207.63257575757555
6154.475618185607,7.582285063280928e-08,2999998.032278963,210.4383838383836
