e0_n,e0_F_d_in,e0_p,time_hours,time_days
1.0,0.0,487.44982,0.0,0.0
1.0,0.0,487.44982,2.890833333333333,0.12045138888888889
1.0,0.0,487.44982,23.31361111111111,0.971400462962963
1.0,0.0,487.44982,25.113611111111112,1.046400462962963
1.0,0.0,487.44982,26.27138888888889,1.0946412037037037
1.0,0.0,487.44982,35.998333333333335,1.4999305555555555
1.0,0.0,487.44982,36.72555555555556,1.5302314814814817
1.0,0.0,487.44982,39.40611111111111,1.6419212962962961
1.0,0.0,487.44982,45.03194444444444,1.8763310185185185
1.0,0.0,487.44982,46.704166666666666,1.9460069444444443
1.0,0.0,487.44982,57.48111111111111,2.395046296296296
1.0,0.0,487.44982,63.821666666666665,2.659236111111111
1.0,0.0,487.44982,70.55805555555555,2.9399189814814815
1.0,0.0,487.44982,71.1361111111111,2.9640046296296294
1.0,0.0,487.44982,75.01083333333334,3.125451388888889
1.0,0.0,487.44982,95.55333333333333,3.9813888888888886
1.0,0.0,487.44982,102.61416666666666,4.275590277777778
1.0,0.0,487.44982,105.34472222222222,4.389363425925926
1.0,0.0,487.44982,106.93444444444444,4.455601851851852
1.0,0.0,487.44982,107.82388888888889,4.492662037037037
1.0,0.0,487.44982,110.84861111111111,4.61869212962963
1.0,0.0,487.44982,119.12444444444445,4.963518518518518
1.0,0.0,487.44982,119.72083333333333,4.988368055555555
1.0,0.0,487.44982,132.29916666666668,5.512465277777778
1.0,0.0,487.44982,137.28277777777777,5.720115740740741
1.0,0.0,487.44982,142.55638888888888,5.939849537037037
1.0,0.0,487.44982,146.3322222222222,6.097175925925925
1.0,0.0,487.44982,150.61138888888888,6.275474537037037
1.0,0.0,487.44982,164.16611111111112,6.84025462962963
1.0,0.0,487.44982,166.72805555555556,6.947002314814815
1.0,0.0,487.44982,175.54305555555555,7.314293981481481
1.0,0.0,487.44982,200.09333333333333,8.337222222222222
1.0,0.0,487.44982,206.41694444444445,8.600706018518519
1.0,0.0,487.44982,215.7161111111111,8.988171296296295
1.0,0.0,487.44982,216.25972222222222,9.01082175925926
1.0,0.0,487.44982,218.83305555555555,9.118043981481481
1.0,0.0,487.44982,229.42222222222222,9.559259259259258
1.0,0.0,487.44982,231.90694444444443,9.66278935185185
1.0,0.0,487.44982,237.8625,9.910937500000001
1.0,0.0,487.44982,237.88833333333332,9.912013888888888
1.0,0.0,487.44982,238.19416666666666,9.924756944444445
1.0,0.0,487.44982,240.0,10.0
